phpmyadmin-1  | 2025-10-14T20:40:32.392942031Z 10.11.202.14 - - [14/Oct/2025:20:40:32 +0000] "\n" 400 484 "-" "-"
server-1      | 2025-10-18T09:09:31.626297061Z 10.11.202.14 - - [18/Oct/2025:09:09:31 +0000] "GET /view?name=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:31.628413675Z 10.11.202.14 - - [18/Oct/2025:09:09:31 +0000] "GET /view?doc=%2Fapp%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:31.630592573Z 10.11.202.14 - - [18/Oct/2025:09:09:31 +0000] "GET /view?doc=%2Fproc%2Fself%2Fcwd%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:31.632908045Z 10.11.202.14 - - [18/Oct/2025:09:09:31 +0000] "GET /view?doc=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fapp%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:31.635193859Z 10.11.202.14 - - [18/Oct/2025:09:09:31 +0000] "GET /view?doc=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:31.637265325Z 10.11.202.14 - - [18/Oct/2025:09:09:31 +0000] "GET /view?page=%2Fapp%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:31.639800454Z 10.11.202.14 - - [18/Oct/2025:09:09:31 +0000] "GET /view?page=%2Fproc%2Fself%2Fcwd%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:31.642039422Z 10.11.202.14 - - [18/Oct/2025:09:09:31 +0000] "GET /view?page=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fapp%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:31.645031448Z 10.11.202.14 - - [18/Oct/2025:09:09:31 +0000] "GET /view?page=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:31.647225670Z 10.11.202.14 - - [18/Oct/2025:09:09:31 +0000] "GET /view?template=%2Fapp%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:31.649664831Z 10.11.202.14 - - [18/Oct/2025:09:09:31 +0000] "GET /view?template=%2Fproc%2Fself%2Fcwd%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
